-Inf,25.83,31.682,34.92,37.015,38.422,39.338,39.857,40.025,39.857,39.338,38.422,37.015,34.92,31.682,25.83
25.83,-Inf,25.83,31.682,34.92,37.015,38.422,39.338,39.857,40.025,39.857,39.338,38.422,37.015,34.92,31.682
31.682,25.83,-Inf,25.83,31.682,34.92,37.015,38.422,39.338,39.857,40.025,39.857,39.338,38.422,37.015,34.92
34.92,31.682,25.83,-Inf,25.83,31.682,34.92,37.015,38.422,39.338,39.857,40.025,39.857,39.338,38.422,37.015
37.015,34.92,31.682,25.83,-Inf,25.83,31.682,34.92,37.015,38.422,39.338,39.857,40.025,39.857,39.338,38.422
38.422,37.015,34.92,31.682,25.83,-Inf,25.83,31.682,34.92,37.015,38.422,39.338,39.857,40.025,39.857,39.338
39.338,38.422,37.015,34.92,31.682,25.83,-Inf,25.83,31.682,34.92,37.015,38.422,39.338,39.857,40.025,39.857
39.857,39.338,38.422,37.015,34.92,31.682,25.83,-Inf,25.83,31.682,34.92,37.015,38.422,39.338,39.857,40.025
40.025,39.857,39.338,38.422,37.015,34.92,31.682,25.83,-Inf,25.83,31.682,34.92,37.015,38.422,39.338,39.857
39.857,40.025,39.857,39.338,38.422,37.015,34.92,31.682,25.83,-Inf,25.83,31.682,34.92,37.015,38.422,39.338
39.338,39.857,40.025,39.857,39.338,38.422,37.015,34.92,31.682,25.83,-Inf,25.83,31.682,34.92,37.015,38.422
38.422,39.338,39.857,40.025,39.857,39.338,38.422,37.015,34.92,31.682,25.83,-Inf,25.83,31.682,34.92,37.015
37.015,38.422,39.338,39.857,40.025,39.857,39.338,38.422,37.015,34.92,31.682,25.83,-Inf,25.83,31.682,34.92
34.92,37.015,38.422,39.338,39.857,40.025,39.857,39.338,38.422,37.015,34.92,31.682,25.83,-Inf,25.83,31.682
31.682,34.92,37.015,38.422,39.338,39.857,40.025,39.857,39.338,38.422,37.015,34.92,31.682,25.83,-Inf,25.83
25.83,31.682,34.92,37.015,38.422,39.338,39.857,40.025,39.857,39.338,38.422,37.015,34.92,31.682,25.83,-Inf
